Model,Accuracy,Precision,Recall,F1
resnet50,0.8366983372921615,0.9099249374478732,0.8672496025437202,0.8880748880748881
vgg16,0.8889548693586699,0.9109746738296239,0.9435612082670907,0.9269816477938305
dense_net,0.8919239904988123,0.8864942528735632,0.9809220985691574,0.9313207547169812
